KO	oral_8
K00767	0.000145230233537766
K00768	4.6224710614937e-06
K00769	5.45702954175734e-05
K00771	0
K00772	6.79197603565352e-07
K00773	0.000524594088212102
K00776	3.05084684427699e-07
K00782	6.1579411521841e-05
K00783	0.000518630022796747
K00784	0.000471809746954058
K00785	5.97520045855248e-06
K00786	0.000249424366487122
K00788	0.000317243527298531
K00789	0.000687258971538271
K00790	0.000987234287196387
K00791	0.000524645684559322
K00793	0.0001345766363747
K00794	0.000124401983792
K00795	0.000352408193313983
K00796	0.000385740304479613
K00797	6.69268435874407e-05
K00798	7.3336002205493e-05
K00799	9.69983236432223e-05
K00800	0.000525833487827268
K00801	6.56779528976294e-07
K00803	2.75517899219913e-07
K00805	0.000621512833176219
K00806	0.000536968865776482
K00808	0
K00809	0
K00812	0.00131557555190268
K00813	1.10223798102699e-05
K00817	0.000368740951082892
K00819	7.03363502750792e-05
K00820	0.000529298253249312
K00821	0.000163041264632488
K00822	1.17766852588281e-05
K00823	0.000110103585152782
K00824	2.12733412933782e-05
K00826	0.000537796528775481
K00830	4.55166513938965e-06
K00831	0.000367395934851742
K00832	1.36479899306916e-05
K00833	8.87704143873079e-05
K00835	6.71254008953732e-07
K00836	3.27503475633115e-05
K00839	1.31355905795259e-06
K00840	6.80073339779598e-05
K00841	0.000587637235495528
K00842	0
K00844	6.56779528976294e-07
K00845	0.00145850568053911
K00846	0
K00847	0.000701173627988385
K00848	0.000248423080134385
K00849	0.000395097311327396
K00850	0.000481264013188689
K00851	0.000113942330232943
K00852	7.21367826905448e-05
K00853	6.12915527972442e-06
K00854	0.000157402543559235
K00855	1.37809808681153e-07
K00856	6.99787085205936e-07
K00857	0.000474605018177248
K00858	0.000591185340508439
K00859	0.000606863529243198
K00860	3.65681566116646e-05
K00862	0
K00863	0.000416353532562681
K00864	0.000421304614167699
K00865	0.00043842407672172
K00867	0.000479600115444359
K00868	0.000849739936352506
K00869	0.00046914176255635
K00872	0.000434913747183912
K00873	0.000526074064964873
K00874	0.000467749294792592
K00875	0
