KO	GI_4
K00252	0.000294407948844379
K00253	0.000346320503225793
K00254	0.000333331077838569
K00255	5.04127684080503e-05
K00256	2.84786213312827e-06
K00257	0
K00259	7.05379725443403e-05
K00260	0.000190804181256001
K00261	0.000159031717529738
K00262	0.000261669802428311
K00263	1.27538194536933e-05
K00265	0.000414023153950191
K00266	0.000637754094210034
K00271	1.15943813215394e-06
K00273	0
K00274	0.000165278625239426
K00275	0.000150116280246407
K00276	0
K00278	0.000442644803552172
K00281	0.000316456029958727
K00282	0.000237833174494542
K00283	0.000124905396770048
K00284	0.000299141227910951
K00285	0.000311172274676228
K00286	0.00039802552692711
K00287	0.000384012784408154
K00288	1.44929766519242e-06
K00290	0.000296318748048181
K00293	0
K00294	3.1888766977583e-05
K00297	0.000477789343917981
K00298	1.52527680981396e-06
K00299	4.55420104350967e-05
K00301	0
K00302	6.46616397571152e-05
K00303	9.09746146206435e-05
K00304	3.1915028006451e-05
K00305	3.1915028006451e-05
K00311	6.53136081866006e-05
K00313	7.59546006931673e-06
K00315	8.70673930705116e-05
K00316	0
K00317	6.43320212773489e-05
K00318	0
K00320	0
K00322	3.09082499687028e-06
K00324	0.000300626465963416
K00325	0.000160484555120581
K00329	0.000140810944605819
K00330	0.000141091912265646
K00331	0.000151678241878861
K00332	0.000138193316935261
K00333	0.000153095137251724
K00334	0.000273556910864963
K00335	0.000367388848247982
K00336	0.000351141016292188
K00337	0.000144223284816936
K00338	0.000143462502941877
K00339	0.000141091912265646
K00340	0.000141091912265646
K00341	0.000165663810824111
K00342	0.00014267412088036
K00343	0.000160415881134878
K00344	0.000424136904285433
K00346	2.89859533038484e-06
K00347	8.16778133700057e-06
K00348	7.83880452695598e-06
K00349	7.44680526439953e-06
K00350	2.58492257040757e-05
K00351	3.83485681889769e-06
K00354	0.00022366718880913
K00355	0.000237489412621041
K00356	0.000140810944605819
K00360	1.47438785952247e-06
K00362	0.000240100334127576
K00363	3.10188039120648e-05
K00364	8.99407963835583e-05
K00365	0
K00366	4.65608664806656e-05
K00367	2.96753891929526e-05
K00368	0
K00370	5.25737659591986e-05
K00371	3.92348864836543e-05
K00372	6.15364915000382e-05
K00373	3.86783958330045e-05
K00374	4.38958674276972e-05
K00375	0.000704267472824438
K00376	1.93239688692323e-05
K00380	0.000228416634080047
K00381	0.000104381629636926
K00382	0.000864400546608238
K00383	0.000194628423836487
K00384	0.00105714801958779
K00385	4.05460263089334e-05
K00387	0
K00389	3.06742690354772e-05
K00390	0.000101910779661626
K00392	5.68319849188355e-05
K00394	3.44211188111887e-05
K00395	3.04078139229569e-05
K00400	0.00010094574310246
K00404	5.92808249722369e-05
K00405	4.0140734551013e-05
K00406	8.18114235925934e-05
K00407	3.99093690138868e-05
K00410	0
K00411	5.27925321210743e-05
K00412	5.21972670399182e-05
K00413	5.21972670399182e-05
K00423	0
K00424	5.21972670399182e-05
K00425	0.000207053792173253
K00426	0.000207069021220523
K00427	2.31887626430787e-06
K00428	0.000143027827726859
K00432	0.000117021885335
K00433	0.00012928680717073
K00435	0
K00436	4.01330488823177e-06
K00437	1.27538194536933e-05
K00441	0
K00442	0
K00443	0
K00446	1.52290472699729e-08
K00448	2.81202085816799e-05
K00449	2.81202085816799e-05
K00450	4.0303234342155e-05
K00451	5.22277251344582e-05
K00452	0
K00453	5.2142500460435e-05
K00455	8.61036224461799e-07
K00457	6.37916483614576e-05
K00459	0.000331681885967757
K00462	0
K00464	5.79719066076966e-06
K00466	0
K00467	2.51141863580672e-05
K00469	0
K00471	1.16948350428325e-05
K00472	2.89859533038484e-06
K00476	0
K00477	5.15494374772361e-05
K00479	1.24858756405411e-05
K00480	0.00013224304891816
K00481	1.73915719823091e-05
K00483	0
K00484	0
K00486	2.36620026970191e-06
K00491	0
K00493	3.04580945399459e-08
K00494	0
K00496	8.83695296499388e-05
K00499	7.41453921086136e-05
K00500	1.15943813215394e-05
K00505	0
K00507	6.95340724427441e-05
K00508	0
K00514	0
K00518	0
K00520	0.000100498144136657
K00523	0.000113417789667122
K00525	0.000377836479784252
K00526	0.000202389475261858
K00527	1.37661000890565e-06
K00528	0.000504673358213041
K00529	0.0002785729646107
K00531	5.96910025202305e-06
K00532	0.000137100534376831
K00533	0.000193506646362632
K00534	1.33335385197703e-05
K00537	0.000387658426275743
K00542	0
K00547	3.77629156069607e-05
K00548	0.000359518318704863
K00549	0.000269805897826847
K00554	0.000394636382540089
K00556	1.06816360784333e-05
K00557	1.00879173064046e-05
K00558	0.000485634274754093
K00560	0.000365888902659998
K00561	3.22755493770459e-06
K00563	0.000116325687092399
K00564	0.000205717695228262
K00566	0.000440810360973445
K00567	0.000492940626560134
K00568	0.000112672527130751
K00569	5.15494374772361e-05
K00570	2.31887626430787e-06
K00571	0.000370032340036882
K00573	0.000308484585289172
K00574	0.000224322549476346
K00575	0.000485141869944691
K00577	0
K00584	0
K00588	3.29124430707468e-05
K00590	1.94626464086709e-05
K00594	0
K00595	2.06423735839012e-05
K00596	2.63916702430975e-05
K00598	0.000307912797285278
K00600	0.000320635693130856
K00602	0.000401224544708211
K00603	1.06157309553564e-05
K00604	0.000417440850127742
K00605	0.000240481447824101
K00606	0.000179163497375709
K00608	0
K00609	0.000427032584307419
K00610	0.000136034004062559
K00611	0.00041723083696982
K00612	2.85014694611222e-05
K00613	3.74580964234679e-06
K00615	0.00109152961394036
K00616	0.000306685323848613
K00619	1.00789219065407e-05
K00620	0.000360605589825835
K00622	0
K00624	0
K00625	0.000377070549289479
K00626	0.00068630911803865
K00627	0.000572921708221049
K00631	0
K00632	0.000308536800241234
K00633	0.000323511731634287
K00634	4.53308103025036e-05
K00635	0
K00638	0.000157198717426404
K00639	0.000317849948049968
K00640	0.000346101327657988
K00641	0.000201886272757763
K00643	1.93391979165022e-05
K00645	0.000311727591147347
K00646	4.34789299557726e-06
K00647	0.000183336945375918
K00648	0.000369414004261804
K00651	0.000227513690443691
K00652	0.00027681579010979
K00655	0.000607950993874244
K00656	0.000343199137235701
K00657	5.93903358391554e-05
K00658	0.000251461408719897
K00661	0.0007124733329208
K00662	2.20214947187015e-05
K00663	1.07366337237724e-05
K00666	0.000673286884858733
K00672	0
K00673	0
K00674	0.000179261453358615
K00675	3.04580945399459e-08
K00677	0.000251243027675507
K00680	0
K00681	0.000277098849918419
K00684	0.000151486946533918
K00686	9.43278651893955e-05
K00687	1.76823266447272e-06
K00688	0.000452898984640615
K00689	1.86879519664786e-06
K00690	0.000199483131092071
K00691	9.31947252908528e-07
K00692	1.47924666993675e-05
K00693	2.89859533038484e-06
K00694	8.64772907911221e-05
K00695	0
K00696	2.33968856708682e-05
K00697	4.45641125307339e-05
K00700	0.000395378781725954
K00701	3.09813358653562e-06
K00702	0.000211054138400547
K00703	0.000274332885057949
K00705	0.000420985916215692
K00709	0
K00712	8.31210718896831e-05
K00713	0
K00720	0
K00721	0.000136143394840536
K00728	1.00098569470361e-05
K00737	0
K00748	0.000144565838234848
K00752	1.4622257069386e-05
K00754	4.2897965919388e-05
K00756	0.000148762694550478
K00757	7.25587314333765e-05
K00758	5.88982543977428e-05
K00759	0.000289381491169904
K00760	0.000448293590845407
K00761	0.000307467125009071
K00762	0.000486553192650261
K00763	0.000299314449435291
K00764	0.000465456311323903
K00765	0.000364404628921061
K00766	0.000375713713353647
K00767	0.000336629962138398
K00768	0.000132660527600672
K00769	5.21747159469272e-06
K00771	0
K00772	9.57070991030552e-05
K00773	0.000389911158853971
K00776	0
K00782	1.04349431893854e-05
K00783	0.000414500827373615
K00784	0.000168282368976964
K00785	0
K00786	1.73422305911044e-05
K00788	0.000462692727691878
K00789	0.000492877200346629
K00790	0.000623766627607232
K00791	0.000396508951331169
K00793	0.000190868836502159
K00794	0.000199816972292922
K00795	0.000295698569595426
K00796	0.000356312964673542
K00797	0.000333145374364576
K00798	0.000149301804154569
K00799	0.000835164086956119
K00800	0.000496768820236399
K00801	8.30930661376987e-05
K00803	6.88193790324505e-05
K00805	0.000403968166511997
K00806	0.000424270805622846
K00808	0
K00809	0
K00812	0.0010188565111928
K00813	6.04247735317882e-05
K00817	0.000806796846986594
