function.	skin_15
K01644	20.2826736
K01646	0
K01647	110.7607411
K01649	105.0847459
K01652	167.4305988
K01653	87.6513318
K01654	0.7263922
K01655	0
K01657	92.9331608
K01658	88.6480096
K01659	1.9708317
K01661	99.8029169
K01662	22.3210766
K01664	85.4440003
K01665	77.8760066
K01666	0.1970832
K01667	7.2639225
K01668	0
K01669	81.2264205
K01671	0
K01673	20.0123881
K01674	0
K01676	0
K01677	0
K01678	0
K01679	100.0000001
K01681	99.6058338
K01682	0
K01684	3.874092
K01685	0.7263922
K01686	11.8644068
K01687	94.6731236
K01689	101.4527846
K01690	0
K01692	18.4469846
K01693	92.2518161
K01695	99.8029169
K01696	100.6250353
K01697	5.5915311
K01698	100.0000001
K01699	1.4527845
K01703	106.5375303
K01704	97.8208233
K01706	0
K01707	0.5912495
K01708	0
K01709	0
K01710	11.4420857
K01711	0
K01712	82.2343601
K01713	0
K01714	118.8298892
K01715	0.1970832
K01716	0
K01719	90.9961147
K01720	3.5474971
K01721	0
K01724	1.3795822
K01725	0
K01726	0
K01727	82.8087168
K01728	0
K01729	0
K01730	0
K01731	0
K01732	0
K01733	100.0000001
K01734	0
K01735	98.6823583
K01736	100.0000001
K01737	92.9782083
K01738	174.7001522
K01739	39.3040149
K01740	20.457233
K01743	0
K01744	19.7646264
K01745	78.8445296
K01746	0
K01749	100.0000001
K01750	104.6793176
K01751	0
K01752	197.9052877
K01753	3.0576046
K01754	156.6585958
K01755	100.0000001
K01756	100.0000001
K01758	0
K01759	6.2053044
K01760	81.3559323
K01761	0
K01766	0
K01768	1.7737485
K01769	0
K01770	21.3976012
K01771	60.0484262
K01772	99.2736078
K01774	0
K01775	185.0329412
K01776	100.0000001
K01777	0
K01778	18.2499015
K01779	0.9234754
K01780	0
K01781	0
K01782	1.182499
K01783	103.8740921
K01784	169.6154065
K01785	82.2794077
K01786	25.9079903
K01787	0
K01788	92.0828876
K01790	6.0476378
K01791	212.1684782
K01792	15.6146179
K01795	0
K01796	0
K01797	0
K01798	0
K01799	0.7263922
K01800	0
K01801	0
K01802	5.9350189
K01803	101.4527846
K01804	2.1791767
K01805	0.7263922
K01807	81.3559323
K01808	33.4140436
K01809	178.2532802
K01810	100.0000001
K01811	0
K01812	14.3026071
K01813	0
K01814	92.2518161
K01815	0
K01816	3.4236162
K01817	99.2116674
K01818	13.8014527
K01819	158.8377726
K01820	0
K01821	77.6789235
K01822	0
K01823	99.2116674
K01825	0
K01826	3.874092
K01828	0.3941663
K01829	0
K01834	193.4624699
K01835	99.2116674
K01838	0
K01839	81.3559323
