function.	skin_16
K01918	78.326178
K01919	4.3475997
K01920	0.0130168
K01921	110.7052956
K01922	1.1975425
K01923	98.1316734
K01924	99.8958341
K01925	100.0000008
K01926	84.6755362
K01928	19.2132342
K01929	99.986984
K01932	0.4817505
K01933	99.9739673
K01934	35.1652899
K01935	82.2772962
K01937	99.1111417
K01938	95.9536663
K01939	100.9148935
K01940	95.7044681
K01941	0
K01945	96.1991052
K01947	0
K01950	12.6262626
K01951	102.9529471
K01952	200.1189593
K01953	3.2134117
K01955	98.4059336
K01956	96.1730392
K01957	0
K01958	86.248197
K01959	1.6666667
K01960	1.6666667
K01961	164.229409
K01962	83.5858594
K01963	83.5858594
K01965	0
K01966	12.6262626
K01968	0
K01969	0
K01970	0
K01971	6.3051648
K01972	99.0981249
K01974	0
K01975	1.8037518
K01976	0.0260335
K01989	3.0626591
K01990	585.2057255
K01991	0
K01992	474.8199807
K01993	0.2083333
K01994	0
K01995	5.0490686
K01996	5.0490686
K01997	5.0490686
K01998	5.0490686
K01999	6.2860519
K02000	13.2375423
K02001	13.2245256
K02002	19.7579254
K02003	386.593828
K02004	266.3807709
K02005	37.9315123
K02006	13.0689303
K02007	13.0689303
K02008	13.0689303
K02009	12.9517794
K02010	7.7922218
K02011	9.894851
K02012	79.2633526
K02013	339.7739938
K02014	2.1875
K02015	871.2302928
K02016	666.9480399
K02017	96.829456
K02018	97.0377894
K02019	4.4128788
K02020	97.0377894
K02021	1.0841106
K02022	0.0130168
K02023	11.945196
K02024	0
K02025	81.7815272
K02026	22.9940622
K02027	12.8298278
K02028	104.0733529
K02029	110.0991019
K02030	103.6128384
K02031	107.518122
K02032	124.4970751
K02033	229.2669734
K02034	255.3292936
K02035	251.6732156
K02036	101.509848
K02037	104.1783175
K02038	104.1913343
K02039	99.0232227
K02040	102.1667732
K02041	74.8953831
K02042	147.8703717
K02043	0
K02044	73.8768645
K02045	0.9018759
K02046	0.9018759
K02047	0.9018759
K02048	0.9018759
K02049	29.378817
K02050	71.5504105
K02051	31.2867029
K02052	1.0416667
K02053	1.1458334
K02054	1.1458334
K02055	1.1458334
K02056	18.5656268
K02057	38.0461463
K02058	1.0580771
K02062	0.9018759
K02063	0.9018759
K02064	0.9018759
K02065	1.6666667
K02066	1.5625
K02067	1.5625
K02068	84.6917638
K02069	97.3180264
K02071	171.2107962
K02072	173.1311906
K02073	190.6881252
K02074	10.8225108
K02075	10.8225108
K02076	80.6565664
K02077	10.8225108
K02078	102.6723196
K02079	0
K02080	0
K02081	1.8297853
K02082	8.6448184
K02083	2.8222703
K02086	81.9191927
K02092	0
K02093	0
K02094	0
K02095	0
K02096	0
K02097	0
K02099	0
K02100	0
K02101	0
K02103	0
K02106	0.221285
K02108	96.2251388
K02109	101.6666675
K02110	96.1600549
K02111	96.212122
K02112	96.212122
K02113	96.212122
K02114	96.212122
K02115	96.1991052
K02116	74.8953831
K02117	8.0573779
K02118	8.0703947
K02119	8.0703947
K02120	8.0834115
K02121	4.2825159
K02122	8.0443612
K02123	8.0703947
K02124	8.0573779
K02160	162.2178647
K02164	0
K02167	0
K02168	1.2143759
K02169	1.3541667
K02170	0
K02171	26.8855221
K02172	28.8059166
K02173	0
K02182	0.9018759
K02188	1.8167686
K02189	0.0130168
K02190	0.0130168
K02191	0.0130168
K02192	0
K02193	0
K02194	0
K02195	0
K02196	0
K02197	0
K02198	0
K02199	0
K02200	0
K02203	0.9018759
K02204	0
K02205	0
K02217	94.5965616
K02221	96.0038212
K02224	12.6392794
K02225	0
K02226	0.0130168
K02227	12.6392794
K02228	10.8225108
K02229	0
K02230	17.1356421
K02231	2.7186445
K02232	12.6392794
K02233	12.6392794
K02234	0
K02236	81.8671256
K02237	100.2864673
K02238	99.6093677
K02239	0
K02240	81.8931592
K02241	0
K02242	83.5598259
K02243	83.8135536
K02244	79.9857815
K02245	81.8801424
K02246	81.8671256
K02247	0
K02248	1.2365928
K02249	0
K02250	80.6565664
K02251	0
K02252	0
K02253	0
K02254	0
K02255	0
K02258	0
K02259	102.301588
K02274	9.9206349
K02275	10.8225108
K02276	10.8225108
K02277	0
K02278	0
K02279	0
K02280	0
K02281	0
K02282	0
K02283	11.7243867
K02284	0
K02285	0
K02286	0
K02287	0
K02288	0
K02289	0
K02290	0
K02291	0
K02292	0
K02293	0
K02294	0
K02297	0
K02298	0
K02299	9.6019722
K02300	0
K02301	91.4790772
K02302	0
K02303	106.7255901
K02304	80.6695832
K02305	0
K02313	100.0000008
K02314	99.9479012
K02315	4.1393315
K02316	99.9739673
K02317	0
K02334	28.8125242
K02335	99.8958341
K02336	0
K02337	103.8538064
K02338	98.196249
K02339	0
K02340	100.0000008
K02341	100.0000008
K02342	98.8131073
K02343	98.196249
K02344	0
K02345	0
K02346	99.4565601
K02347	80.6565664
K02348	18.8546982
K02351	10.8225108
K02352	75.797259
K02355	103.5670703
K02356	99.0851081
K02357	99.986984
K02358	103.8008964
K02361	0
K02362	0
K02363	0.9018759
K02364	0
K02371	9.0092879
K02372	84.5267856
K02377	1.0416667
K02379	83.7740508
K02380	0
K02381	2.8222703
K02383	0
K02385	0
K02386	1.5625
K02387	1.5625
K02388	1.5625
K02389	1.5625
K02390	3.0208334
K02391	0
K02392	3.1250001
K02393	1.5625
K02394	1.5625
K02395	0
K02396	1.5625
K02397	1.4583334
K02398	0
K02399	0
K02400	1.5625
K02401	1.5625
K02402	0
K02403	0
K02404	1.5625
K02405	1.5625
K02406	4.2708334
K02407	1.5625
K02408	1.4583334
K02409	1.5625
K02410	1.5625
K02411	1.4583334
K02412	1.5625
K02413	0
K02414	0
K02415	1.5625
K02416	1.5625
K02417	3.2291667
K02418	0
K02419	1.5625
