KO	GI_5
K00428	7.96725878845561e-05
K00432	0.000269634592323222
K00433	0.000100718881623715
K00435	0
K00436	8.71666300442789e-07
K00437	0
K00441	0
K00442	0
K00443	0
K00446	6.29706390424956e-09
K00448	3.62519942709443e-05
K00449	4.04027861778147e-05
K00450	9.93114557210941e-05
K00451	0.000140658867624365
K00452	0
K00453	0.000111355369881566
K00455	3.68101378416202e-06
K00457	0.000140646273496557
K00459	0.000449464196078971
K00462	0
K00464	0
K00466	0
K00467	0.000107537646242713
K00469	0
K00471	2.93097948067036e-05
K00472	2.07539595343521e-05
K00476	0
K00477	0.000136974965184755
K00479	1.61480826538832e-05
K00480	0.000344652740089858
K00481	1.17288431863861e-07
K00483	1.3594795511493e-07
K00484	4.15079190687043e-06
K00486	3.97290082514741e-06
K00491	0
K00493	8.3204750054536e-06
K00494	0
K00496	6.11980068429769e-05
K00499	0.000244526695152131
K00500	0
K00505	0
K00507	0.00014456170513653
K00508	0
K00514	0
K00518	0
K00520	5.00664826543997e-05
K00523	0.000354267250351864
K00525	0.000250981998627203
K00526	0.000152875880126357
K00527	7.91116279279759e-08
K00528	0.000507489028696861
K00529	0.000358728830514054
K00531	8.85130406190255e-06
K00532	7.47856435720237e-05
K00533	0.000141167148149162
K00534	0
K00537	0.000411551381196226
K00542	0
K00547	3.89938990616269e-05
K00548	0.000291905981689787
K00549	0.00016741969543506
K00554	0.000269706825708404
K00556	1.08958287555349e-05
K00557	1.57213096504819e-05
K00558	0.000229454033796338
K00560	0.000263971625966559
K00561	1.08958287555349e-05
K00563	6.70293436605512e-05
K00564	9.1023526058307e-05
K00566	0.00030465670176638
K00567	0.000440457564683617
K00568	0.000216378919337333
K00569	0.000132824173277885
K00570	0
K00571	0.000286105980404206
K00573	0.000456816619142089
K00574	0.000181140203236855
K00575	0.000531707712155723
K00577	0
K00584	0
K00588	4.04702210919866e-05
K00590	2.03536857160717e-05
K00594	0
K00595	3.07427479607133e-05
K00596	0.00010531929509886
K00598	9.90680272794301e-05
K00600	0.000275663675576543
K00602	0.000286202613295931
K00603	2.66584610218753e-05
K00604	0.000293576151755177
K00605	0.000234198826013512
K00606	0.000207554361999741
K00608	0
K00609	0.000364444330712369
K00610	6.00723358721822e-05
K00611	0.000280637767470774
K00612	4.89271361306449e-05
K00613	0
K00615	0.000819551845691025
K00616	0.000228840337248344
K00619	1.25941278084991e-08
K00620	0.000239525802098578
K00622	0
K00624	0
K00625	0.000263731988769731
K00626	0.00165803201036366
K00627	0.000627806691883918
K00631	0
K00632	0.000710729037659823
K00633	4.44222758300279e-05
K00634	4.45649497122856e-05
K00635	0
K00638	6.85544851334747e-05
K00639	0.000198828361409443
K00640	0.000304688882253074
K00641	0.000296590755789563
K00643	3.44474929111616e-05
K00645	0.000295203302076422
K00646	8.90325823693857e-07
K00647	0.000105367852555906
K00648	0.000440650821851513
K00651	0.000119108140745825
K00652	0.000298822937389913
K00655	0.000500915837824495
K00656	9.81584116877974e-05
K00657	9.11373821675688e-05
K00658	0.000327457958428095
K00661	0.00017540209536034
K00662	3.62261315688609e-06
K00663	9.57191988000546e-07
K00666	0.00113952870694917
K00672	0
K00673	0
K00674	0.000169874485830634
K00675	1.88911917127487e-08
K00677	0.000384392346185717
K00680	0
K00681	0.000796217087316107
K00684	7.2123976039934e-05
K00686	6.66526299051161e-05
K00687	0
K00688	0.000246828673287628
K00689	7.80269710026906e-07
K00690	7.02126178500347e-05
K00691	6.54532991178343e-06
K00692	2.34401148683697e-05
K00693	2.66584610218753e-05
K00694	1.37020784973846e-05
