function.	skin_1
K01409	113.68
K01414	4.85
K01415	0
K01416	0
K01417	0
K01419	58.22
K01420	51.18
K01421	96.53
K01424	113.53
K01425	3.68
K01426	10.27
K01427	0
K01428	50.17
K01429	49.84
K01430	49.84
K01432	1.09
K01433	12.22
K01434	1.84
K01436	48.98
K01437	0
K01438	8.54
K01439	175.25
K01442	64.03
K01443	55.5
K01444	0.34
K01446	40.79
K01447	2.2
K01448	101.59
K01449	0.34
K01451	78.41
K01452	0
K01453	0.87
K01455	1.99
K01457	0.54
K01458	2.78
K01459	0
K01460	0.34
K01461	0
K01462	165.47
K01464	3.01
K01465	122.28
K01466	0
K01467	4.79
K01468	45.38
K01469	1.75
K01470	2.37
K01471	0.5
K01473	1.29
K01474	1.62
K01476	42.29
K01477	1.5
K01478	64.17
K01479	42.8
K01480	4.84
K01482	0.45
K01483	2.08
K01484	0.75
K01485	4.21
K01486	0.26
K01487	2.5
K01488	37.31
K01489	78.13
K01491	112.48
K01492	0
K01493	100.42
K01494	12.93
K01495	61.06
K01496	36.3
K01497	10.19
K01499	0
K01501	8.86
K01502	0
K01505	7.85
K01507	80.37
K01512	87.1700000000001
K01515	102.63
K01518	0.25
K01520	64.63
K01521	0
K01523	36.3
K01524	73.63
K01525	3.43
K01531	14.3
K01533	19.36
K01534	51.38
K01535	0.63
K01537	21.18
K01539	0
K01545	0.33
K01546	56.27
K01547	54.62
K01548	54.95
K01551	35.71
K01555	2.24
K01556	1.58
K01560	46.25
K01561	1.12
K01563	0
K01567	0
K01568	0
K01569	0.5
K01571	3.69
K01572	3.01
K01573	1.18
K01574	1.12
K01575	124.42
K01576	1
K01577	0.13
K01578	0.96
K01579	47.96
K01580	34.42
K01581	6.97
K01582	41.54
K01583	1
K01584	1.95
K01585	11.19
K01586	147.26
K01588	111.89
K01589	88.95
K01590	0
K01591	112.9
K01593	0
K01594	0
K01595	9.65
K01596	2.55
K01597	51.59
K01598	4.17
K01599	106.35
K01601	0.8
K01602	0.67
K01607	80.59
K01608	1.25
K01609	94.62
K01610	60.16
K01611	1.93
K01613	23.24
K01615	1.91
K01616	0.47
K01617	0.68
K01619	110.41
K01620	62.38
K01621	33.92
K01622	0
K01623	82.3
K01624	110.14
K01625	46.66
K01626	53.91
K01627	15.28
K01628	6.89
K01629	0.95
K01630	0.87
K01631	1.07
K01633	94.77
K01635	59.35
K01637	2.02
K01638	2.65
K01639	52.64
K01640	5.14
K01641	50.69
K01643	1.76
K01644	39.47
K01646	1.76
K01647	131.07
K01649	172.73
K01652	152.79
K01653	55.93
K01654	7.42
K01655	0
K01657	94.14
K01658	96.3500000000001
K01659	2.47
K01661	82.82
K01662	52.88
K01664	58.45
K01665	60.56
K01666	1.43
K01667	1.93
K01668	1.26
K01669	50.28
K01671	0
K01673	20.97
K01674	1.51
K01676	3.78
K01677	0.75
K01678	0.75
K01679	105.45
K01681	89.11
K01682	10.09
K01683	0
K01684	10.89
K01685	3.07
K01686	3.08
K01687	99.26
K01689	145.06
K01690	2.96
K01692	37.16
K01693	78.35
K01695	94.14
K01696	97.62
K01697	1.87
K01698	94.6
K01699	33
K01702	0
K01703	95.3
K01704	95.92
K01706	2.58
K01707	1.58
K01708	1.58
K01709	7.75
K01710	48.06
K01711	12.07
K01712	44.88
K01713	1.08
K01714	105.8
K01715	3.75
K01716	1.43
K01719	59.82
K01720	1.56
K01721	0.66
K01724	2.56
K01725	1.59
K01727	42.54
K01728	0.58
K01729	0
K01730	0
K01732	0
K01733	120.19
K01734	2.35
K01735	110.98
K01736	120.56
K01737	66.64
K01738	241.21
K01739	86.02
K01740	16.98
K01744	90.86
K01745	46.09
K01746	1.33
K01749	94.6
K01750	51.14
K01751	2.55
K01752	175.47
K01753	2.71
K01754	149.48
K01755	97.07
K01756	119.96
K01758	0
K01759	24.03
K01760	61.64
K01761	2.01
K01766	0.85
K01768	4.98
K01769	0
K01770	52.73
K01771	40.64
K01772	102.6
K01775	166.03
K01776	113.06
K01777	0
K01778	47.14
K01779	46.45
K01781	0
K01782	0.5
K01783	113.15
K01784	223.64
K01785	58.69
K01787	1.03
K01788	52.89
K01790	54.08
K01791	158.56
K01792	34.74
K01795	0
K01796	0.87
K01799	1.59
K01800	1.04
K01801	2.29
K01802	109.5
K01803	146.68
K01804	33.96
K01805	2.01
K01807	54.57
K01808	123.33
K01809	136.75
K01810	113.31
K01811	0.37
K01812	2.21
K01813	0.7
K01814	54.9
K01815	0.71
K01816	35.98
K01817	93.69
K01818	1.84
K01819	102.46
K01820	0.01
K01821	68.71
K01822	0
K01823	66.19
K01825	0
K01826	2.2
K01829	0
K01834	171.67
K01835	88.47
K01838	2.08
K01839	50.84
K01840	5.98
K01841	2
K01843	1.5
K01844	1
K01845	174.85
K01846	1.25
K01847	67.84
K01848	0.25
K01849	0.25
K01851	0.5
K01854	36.72
K01856	1.71
K01857	1.97
K01858	33.22
K01865	0
K01866	112.31
K01867	113.06
K01868	117.45
K01869	112.31
K01870	112.31
K01872	113.56
K01873	112.31
K01874	112.31
K01875	112.31
K01876	113.56
K01878	18.51
K01879	28.76
K01880	93.8
K01881	112.31
K01883	112.31
K01884	1.38
K01885	90.22
K01886	38.62
K01887	112.93
K01889	112.31
K01890	112.31
K01892	112.31
K01893	68.52
K01894	2.58
K01895	107.8
K01896	0
K01897	126.93
K01902	59.44
K01903	59.44
K01904	0
K01905	0.5
K01906	41.42
K01907	0.83
K01908	1.1
K01909	0
K01910	1.53
K01911	82.65
K01912	16.34
K01914	18.72
K01915	147.9
K01916	75.13
K01918	48.59
K01919	18.26
K01920	3
K01921	112.77
K01922	4.17
K01923	113.81
K01924	112.31
K01925	112.31
K01926	65.47
K01928	66.52
K01929	112.56
K01933	112.31
K01934	62.72
K01935	57.11
K01937	110.56
K01938	101.15
K01939	112.52
K01940	95.16
K01941	0.79
K01945	103.56
K01947	1
K01950	38.03
K01951	146.73
K01952	282.89
K01953	40.16
K01955	98.89
K01956	98.13
K01958	57.35
K01959	7.99
K01960	8.69
K01961	120.48
K01962	67.64
K01963	67.47
K01965	0.58
K01966	34.35
K01968	1.58
K01969	1.58
K01971	1.44
