	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00832	5026.57	4066.45	7524.52	2612.5	4027.25	2728.67	4203.83	5217.25	9297.64	8461.7	3508.98	7911.25	1905.75	5816.25	19773.42	1592.5	580.5	5848.75	14383.42	3883.5	5888.58	6178.5	3483.8	16573.83	30368.9	18038	49722.93	26144.33	23191.08	23586.58	75890.67	1899.5	29710.06	25195.87	10607.5	15954.08	16537.31	44765.03	7972.9	40592.86	10439.67	8892.66	9806.58	9934	18296.1	22560.03	21837.93	7914.75	1921.7	5312.25	19906.95	25441.42	24507.92	9913.88	12534.92	5750.58	5665.41	9500.75	6717.82	2875.55	9793.86	4284.18	6956.93	6801.58	3211.58	39810.3	5255.58	5159	5631.5	8786.25	4966.35	10804.75	7572.08	5164.12	6927.1	36249.28	3177.75	6490.88	25178.36	12852.18	19300.95	6440.45	17967.25	26895.1	23389.17	24697	26647.25	18513.6	25537.11	21116.3	29248.5
K00833	29621.73	25137.24	18041.8	35505.93	19578.58	22825.99	48497.18	25942.76	33012.01	11779.83	16539.76	20338.12	13277.5	14455.84	21164.89	8836.16	3174.34	16538.92	45300.26	21532.7	29767.6	18692.21	15191.1	120465.83	128005.95	65578.86	280500.44	105646.5	104288.69	96804.07	139803.12	22751.68	172847.15	18113.8	34361.33	50320.66	51252.3	98165.2	118874.62	122769.92	17258.01	84665.17	87370.66	20193.97	33927.13	47761.59	28046.33	33518.91	37740.18	24230.9	51113.46	59172.42	106603.41	50868.56	43188.17	58159.03	23457.83	41935.26	19207.07	27087.18	15812.03	55501.67	19316.01	41317.5	18662.88	101638.3	47329.41	31146.99	153263	23433.19	49509.11	39623.32	33957.17	15314.83	25837.43	48293.75	18307.57	109949.24	31613.93	56496.19	65824.75	27764.76	30144.01	58335.85	67585.76	67412.33	65475.07	74676.84	105173.78	182296.79	68923.16
K00835	1324.25	488.67	579.25	154	166.5	6	96.09	1748.75	2516.43	76.33	17.5	50.42	33	2595.08	482.25	639.58	149.75	23.17	157	74.08	77.17	746.67	36.75	21.75	7285.33	25899.25	3937	1498.5	867.83	194.33	14964.25	1215.67	751.67	584.08	611.33	2075.17	62.08	4036.42	61	1351.67	15.42	558.25	11462.33	324.67	10353.25	7133.75	17877.5	560.75	798.67	778.5	1423.17	209	295.08	1663.42	3695.67	64.83	2032.17	34.5	134	507	3.75	8159.5	717.83	36.75	620.25	62.25	40.67	718.67	67.5	82.42	1037.58	428.08	132.75	136	1530.25	232.67	326.92	11652.08	16779	14037.08	134.75	4222.92	778.75	4011	83.5	5929.08	39459.08	11444.83	1997.17	540.25	8895
K00836	13816	1955	484	906	8606	0.67	7391	5007	7592.8	17657	25146	7021.2	12566	41	588	0	4985	1163	1535	1249	11586.67	3426.5	9654	32300	152.83	2612	12411.93	19341.17	24979	43398	3211	17392	10981.4	11204	17784	9606.5	79.47	38333	5260.5	29813	2962.16	103.33	12161	14984	17989.5	8421	129	7045	1743	6038	7482	84	813	8844	15915	76.33	5215.33	9686	4979	3273.83	3415.2	3817	9250.6	6831	7540	5425.3	21462	21549	107	33	1747	1734	23495	16752	6040.6	3002	5757.83	57.83	4014.84	6797.6	201.4	4741	667	7247.6	1131.87	0	61.4	4850.26	136.6	625.63	13.33
K00839	24	49	0	177	0	59	46	2145	620	27	9	313	113	1061	16	43	0	25	141	9	53	0	5	72	58.5	35	62	301	165	1457	0	213	44	1230	129	56	265	10212	84	47	17	136	58	2208	1660	8703	122	97	21	669	0	48	300	244	72	65	74	86	104	1689	10	12	360	177	109	870	23	0	0	8	96	19	0	157	2151	35	476	330	254	16	565	65	752	74	98	30	40859	170	18	50	14
K00840	1058.75	29	479.25	154	157.5	0.67	12.75	1746.75	734.23	0	17.5	8.95	33	2311.75	340.25	638.25	149.75	11.5	99	55.75	12.5	2.5	34.75	5.75	1232	8768.25	3939.93	581.67	272.5	39	12442.25	0	39.4	229.75	2	964.5	47.22	2109.75	58.5	458	3.25	560.58	5805	275	9697.25	6767.75	17878.5	546.75	99	778.5	8.5	181	289.75	491.75	0	15.5	11.83	34.5	7	389.83	7.95	70.5	198.1	8.75	620.25	82.55	12	0	53.5	16.75	549.25	31.75	132.75	0	1526.85	76	326.08	72.75	16776.17	9980.35	136.15	3162.25	778.75	2659.6	95.37	5692.75	11416.15	233.1	307.1	124.05	8895
K00841	3418.2	1959.4	1751	875	365	6078	886	2153.51	3935.5	3897.5	196	7594	1651.25	1451	11107.6	223.4	461	758	874	260	1161.99	1216.75	974.5	5220.7	2834.27	258031	3695	3609.44	13583.64	12591	3756	2323.75	3053	2238	4425.22	1705.99	22986.51	26684.41	3174.5	7486.01	819	41660.99	8786.3	5606	4608	7609.27	3592.5	2514	304	4116	23203.7	1328	1576	2261.79	270.01	1261	865.49	6630.5	5256.45	3131.01	7688.99	4023.04	1078.8	12379.19	10090.79	2156	2155	3770	725	2039.74	3163.33	1894.25	5677.4	5311.75	4015.75	31625.08	51861	2511	2457	118	9076	3507	2021	6772	6278	4481	54188.75	4880	1827.01	2265.93	2425
K00842	0	0	0	3	0	0	6	0	2	6	3	0	2	0	484	0	0	0	4945	0	0	0	0	1.33	4	0	0	8	0	0	0	0	0	0	0	0	60	1954.2	24	1439.2	179	0	18.67	0	2.33	4.2	10.6	0	0	0	0	0	34	38.8	0	12	13	0	2	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	722	7	7.5	0	18	0	53.8	0	0	2635.67	13.8	0	4	10	0	27	0
K00844	276.75	298.25	243	58	54	8.25	3195	0	59.5	2456	27	0	0	0	8735	0	0	5.25	6590.75	25.25	2160	48.75	70	1554	3282	298.05	6164	1201	1243	3410	6598	7	5444	9501	368	407	2291	21364.75	6788	9335	179	1250.5	1260.25	159	1910.25	1316	614.5	1577	84	0	121.5	2148	172.75	351.5	1300.25	1214.75	242	607	556	0	355.75	2382	23.75	2539.25	395.75	0	1239	0	2364.25	5725	725	154.75	317.75	259.5	2454	80.75	1382	23.2	344	484	18603	31.5	5317	3431.75	12116	11317.25	2546.25	727.75	2599	1204.75	593.5
K00845	155322.06	100445.29	74703.61	85122.85	79496.88	94854.9	159530.74	100060.6	225384.87	66230.86	78700.91	77505.46	77548.95	74303.04	47210.04	41519.29	44717.34	79183.69	55644.79	59369.25	233166.43	65440.18	95771.35	626798.9	424142.8	673917.51	826191.63	528656.18	556167.77	559571.57	373865.77	216917.97	513531.28	144358.62	242857.89	223661.94	188734.13	388892.14	265619.44	479709.49	198253.35	213607.07	250757.59	218856.63	231252.26	224425.49	79681.92	187647.36	119739.14	160159.6	205716.58	94513.5	171928.25	229749.91	168916.56	151473.93	173897.58	290895.01	215353.4	186227.52	177499.69	166758.5	216495.46	223016.33	207203.19	195338	237313.3	225150.58	340579.25	100137.66	231742.52	356734.63	232314.94	161515.18	188063.18	492858.69	184024.54	247831.56	205378.95	174943.93	161092.72	92468.46	154655.83	279979.75	265497.68	176050.91	211041.07	214177.58	310990.58	301036.99	199067.87
K00847	123272.11	89485.23	60715.33	82338.66	72945.43	79883.56	156048.92	85966.26	164359.87	43140.33	69984.23	75378.06	62180.9	81889.22	52415.96	39571.11	39547.42	65630.85	54879.82	55340.68	190050.84	57227.79	80424.2	486060.1	372757.07	369048.8	548597.72	412563.43	433643.75	427640.32	270234.45	201057.56	426282.19	151400.42	207049.84	194550.33	214609.44	344484.37	223170.59	364924.56	277023.45	236424.38	216794.31	173754.15	183890.81	218743.83	70895.04	151058.98	105775	149783.6	189572.4	91918.08	152370.81	187552.24	157250.69	138824.08	148627.43	274001.38	216286.01	175670.87	140992.8	137855.08	161326.88	165094.38	165955.02	229753.75	185930.35	187106.94	266926	108163.43	184845.79	266956.89	218120.72	140175.3	144995.3	370349.29	180927.02	196054.11	174677.12	141039.21	147403.97	85092.48	165789.29	222175.38	241620.52	157758.83	187094.75	179819.61	271159.31	315869.39	178085.9
K00848	50095.1	41361.17	22391.14	33489.68	17322.3	29527.22	61887.97	41224.75	48594.41	7102.5	16293.82	16481.05	30239.05	23626.13	11829.78	18592.05	19414.5	20156.4	33139.9	15640.53	61404.75	16487.6	20342.35	164321.25	68675.35	19092.45	317958.88	137653.29	202086.18	109898.5	91409.88	74688.13	185282.93	40284.88	79837.55	65159.52	87077.12	121141.6	140851.43	91662.07	37632.43	127696.55	93205.1	71746.74	49961.4	81808.72	48031.72	56664.95	35026.1	73800.3	70285.37	55203.05	73629.62	96040.8	49435.55	47417.42	52313.57	139780.95	126775.67	101045.1	63754.66	47854.1	44991.75	80557.25	62632.5	32745.25	64684.85	80966.78	187207.25	38708.93	85027.23	87074.97	126253.15	57272.8	46320.42	175147.43	64356.8	86163.1	55236.1	57298.83	67052.1	36050.22	48794.13	49766.9	62899.03	86477.75	55554.68	29055.78	87053.9	141576.1	70527.65
K00849	96486.36	54340.59	34433.06	49122.85	48615.13	60982.97	98031.11	58391.59	114541.08	41986.33	53449.89	41070.16	55866.95	52954.46	38734.05	29731.71	35970.67	40956.91	37753.87	29290.27	145889.26	33453.69	57956.35	392062.15	150685.7	336765.15	274982.96	296851.84	339451.51	332055.32	151745.99	165980.3	250262.53	108831.54	153734.06	132688.86	128809.55	249711.72	132767.73	241970.27	160570.93	168014.65	165149.01	148446.41	152006.36	152208.94	62339.87	115023.78	68251.02	106007.05	134201.91	60022.58	83366.47	130212.41	92799.47	75886.94	103076.91	197007.73	152880.67	136664.1	114261.86	105655.9	119783.13	118879	142030.79	47751.25	136964.05	151462.28	156533.25	50366.49	131136.89	190334.05	172300.77	108698.4	106213.26	318695.49	146091.72	116234.26	114143.02	91942.25	97461.87	61929.89	103155.33	127287.89	151235.17	100233.58	158996.39	68191.09	144695.74	181146.49	64184.95
K00850	284972.76	190741.04	128068.42	155367.65	137056.71	185101.77	269239.92	177190.94	370640.58	103705.86	140374.23	128640.43	174711.65	126265.37	96367.01	96379.09	108860.26	123258.61	100460.53	95548.54	457120.85	108114.85	174549.52	1170697.74	489923.01	443518.91	939581.76	935102.67	1098123.86	960449.4	507046.33	489499.85	778392.7	296374.87	492592.56	433134.56	371881.26	686414.72	389023.22	716516.49	317247.36	514077.7	454836.53	442523.76	413559.15	411752.69	151749.89	362488.77	224304.76	320118.6	426873.95	197476.85	276409.51	395161.66	262268.73	232430.44	320984.95	631878.86	553683.13	491247.86	415810.2	322357.61	395134.96	323907.31	443613.51	153131	397979.31	483508.79	456242	185226.19	410370.43	669814.75	559079.09	350714.89	347054.3	1036371.38	381928.46	318521.79	374140.21	245783.14	290727.62	183138.58	276494.31	439353.24	417121.93	334721.16	342665.1	219323.78	443569.09	578143.13	182479.18
K00851	8460.08	5308	4141.95	2799	6408.5	6028	9145.42	6330.75	12297.93	23285.5	4864.5	18729.75	10375.25	4382.75	13282.25	6815.58	3467.75	9041.21	12648	8996.75	9356.17	11268.75	4084.25	26799.75	66417.66	277888.75	44165	35150	14068.92	40947.16	40164.08	20445.75	25689	9944.75	24193.76	14782.5	30893.25	71595.67	9545	36973	4063.58	12453.75	17598.5	6553	17020.08	19324.75	25209	4974.75	2675	4220.5	5957	5083	6287.75	9486.92	6631.5	10709.5	7301	25071	10701.25	17933	11265.75	3245.75	14500.5	7277.75	8838.25	102347.75	3687	8291	15055.5	13083	5148.75	20064	14048.75	11578.25	6790	56768.24	7890.75	5050.58	40053.17	17317.75	13351.25	7170.08	12176.25	25723	30749	22361.25	74425.33	50665.83	58769.5	21007.08	56804.33
K00852	65196.5	41475.89	38521.41	33087.13	20718.25	37518.27	35758.32	41585.75	115433.72	37529.2	21828.7	35101.95	37335.1	25762.98	29099.3	24336.23	35475	29536.21	21428.87	19889.63	80310.25	23129.75	30534.55	143001.21	320880.11	349528.85	336666.71	186718.13	218767.13	323656.07	190869.63	116573.88	155957.94	59677.5	128442.41	100504.87	85358.11	178297.42	54096.73	112562.83	53680.83	90453.56	94559.55	112193.49	101039.92	106588.95	56106.4	62764.25	51995.2	85586.5	113840.87	48924.97	55516.99	75087	48432.92	59581.27	76535.7	140167.55	136219.29	127899.22	96886.42	102196.03	121733.83	41373.53	108162.28	78153.5	36475.13	111543.88	112650.5	54117.83	94532.8	171217.12	126314.03	85856.27	81620.12	271030.3	89760.07	66838.41	155397.11	75911.36	53932.7	44664.57	60361.93	156715.25	91506.43	96744.25	140818.26	86679.43	104793.68	94186.61	97454.03
K00853	1933.65	1907.7	914.95	651	228.5	782	1321.75	1925.25	1653.93	23.2	395.4	499.55	61	2664.75	1895.25	834.25	169.75	117.5	542.75	116.75	621.5	135.75	544.55	201.75	5881.4	10430.25	75703	10644.75	19584.25	4761.5	24566.75	29.75	8728.25	520.95	694.38	1083	478.25	2488.5	1570.9	3959.75	31.75	757.25	9776	1126	12417.85	8171.25	18559	828.75	1033.2	1375.5	514.7	2645	7359.75	1699.75	895	5004	2373	190.5	335.65	402.8	57.75	4609.85	782.5	2475.25	994.75	72.25	488.5	1888	3610.5	2842.5	2099.35	1703	1383.25	230.95	3644	9115.32	490.25	7493.55	18065.85	14151.75	829.75	3469.95	1953.75	4466	4301	9500.25	13775.1	7361	2041.5	1644.75	21005.5
K00854	88193.53	72988.74	53535.18	56392.43	41010.8	75095.87	113192.34	61450.25	144033.84	46790.5	33020.42	49725.95	69633.4	57495.03	33110.53	48884.78	37363.25	42469.15	42067.1	38545.28	156245	39796.1	57454.6	400715.8	239667.48	325905.85	559756.96	310384.9	383768.6	338189.99	224839.46	179313.13	283609.83	112983.1	174252.33	166362.19	159798.4	249006.52	150735.63	251908.65	173668.34	153133.78	180624.4	132738.1	133382.06	149871.72	71982.3	127394.95	75003.23	123202.3	143266.42	82861.85	110103.32	144575.47	104167.8	92454.32	116380.82	307581.25	210095.47	189146.1	144552.5	98621.25	152514	127107.7	165748.5	100778.25	132779.15	169597.28	222655.75	80635.13	149658.1	276339.97	224170.6	124239.2	119716.42	430886.02	112110.45	136939.85	151031.6	91827.48	97026.3	64941.47	121264.43	170145.73	164620.72	150480.25	123447.71	102336.96	202370.57	196467.55	147409.77
K00855	1841.75	1086	1285.25	851	2835.5	361	2173.09	3092.75	3757.43	3059	1463.5	6604.75	1218	2640.75	843.25	713.25	288.75	3186.5	1080	2812.75	938.5	3862	1267.75	4822.75	24727	12810.25	18569	15862.5	1237.5	2701	17165.25	784	9658	323.75	7409	6903	10172.75	22690.09	3751	13600	1440.75	3806.25	6233	1070	10279.25	7371.75	18249.5	1394.75	899	1381.5	640.5	1430	2523.75	2318.75	1638	1387.5	1709.5	115.5	385	950	474.75	166.5	1722.5	2062.75	1386.25	37878.25	357	652	184.5	1197.75	1816.25	283.75	314.75	2108	2446.25	1126	1827.25	1694.75	19026	12280.75	4164.75	3718.25	3724.75	12223	12905.5	10336.75	15808.75	17971.5	16480.5	7917.25	28404
K00856	591.77	431.57	487.33	347.33	255.67	405.33	600.2	83	401.67	70	178.6	151.9	28.6	550	217.67	30.4	14.5	397	687.2	242	764.67	963	738	130.8	3085.4	2117.46	2077	2117.07	4847.07	5513	3860.3	636	6286.4	730	535.4	1750	636.73	1455	1735.86	6509	1733.33	237.4	933.8	783	2017.2	1420.17	149.2	998	651	1366	3293	225.8	4935.23	2878.33	635	156.07	329	209.8	253.2	11	352.8	2012.17	226.5	1112.2	415.27	134	406.8	183	3189.5	255.2	1560.67	1768	4.2	157.9	2773	135.5	23	39.5	186.5	997.83	2597.2	1194.67	1857.8	2206.33	1250.67	2903	748.2	478.6	557.67	3261.2	5487.53
K00857	55304.36	31967.88	32080.35	40531.22	33482.88	27899.35	62029.9	36214.76	95711.45	14915	25042.52	34809.32	10612.2	37961.25	25230.17	2208.63	9389.92	35176.07	25846.62	24976.48	70371.67	26654.27	34432.52	217005.48	235146.46	323558.15	229918.25	201020.47	140887.13	207798.41	143848.19	43958.5	197548.98	59585.38	65671.36	78033.15	79445.89	146652.52	102020.1	232749.49	125839.51	89747.23	69480.52	60193.24	98253.52	100034.7	34225.02	60032.61	55744.47	63589.05	81461.37	41814.25	75464.52	66697.52	70243.97	78150.74	65392.7	44832.15	32321.71	19082.69	34545.02	67778.56	58308.22	83276.83	52476.45	138181	73915.88	59937.23	100970	46084.85	84496.14	123014.35	34836.27	27912.31	68183.47	90492.52	84918.8	97404.6	89844.27	82527.87	67519.32	35776.93	76726.95	113600.39	134864.92	59586	91175.68	102112.34	123168.57	149415.07	96138.28
K00858	118973.85	76430.71	64633.23	65038.18	61164.05	67938.37	109402.86	69913.59	175802.46	60837.53	66542.37	71639.83	62606.45	62101.96	56003.39	30993.96	42957.92	57403.95	46315.29	44580.02	161859.01	55506.44	71619.57	418863.56	392568.67	648533.81	361175.89	392205.09	402671.61	467137.9	321733.19	175933.55	348011.34	141508.46	199394.56	183338.61	163941.94	332924.06	155762.29	341680.6	182358.68	184371.89	175479.76	174631.21	178260	192191.02	67331.95	129912.61	93796.22	124153.8	184253.83	90837	129808.27	152874.07	128806.89	116451.61	134648.32	208768.15	179269.07	150251.82	131361.3	144083.83	162881.23	130503.83	158693.96	185664.8	147249.63	180597.28	164548.25	90804.24	165346.19	253521.3	183031.6	131094.1	141372.36	325192.77	164309.12	137243.76	176603.38	125795.41	123790.44	76152.76	137431.33	234363.82	216318.88	133947.83	177357.14	167085.36	211210.02	231885.37	125915.78
K00859	112072.68	67935.04	55662.7	59893.65	60437.18	65757.04	124963.46	66846.59	160644.79	60758.53	64313.77	71038.16	62482.05	76077.36	56327.92	30896.96	39614.92	58048.15	46483.29	43690.22	159718.34	53792.84	71126.9	418252.96	279116.07	372373.15	356361.89	379313.92	380032.94	421252.9	286369.26	172334.05	327563.34	163039.26	189896.56	169281.84	163418.81	329546.99	152156.83	322360.93	272470.95	184333.89	173733.76	172438.01	171863.17	195072.55	67610.75	126922.81	85328.82	118867.2	165272.66	98785.2	123820.94	151557.54	129343.69	109868.07	135240.52	205548.15	175352.74	149040.15	128680.57	132173.83	155873.56	135172.43	152336.29	185266.8	144963.63	173857.28	161300.25	82122.64	156609.92	232526.9	182115.6	130298.1	132618.16	320144.17	161284.92	132757.36	158320.98	114720.68	121143.17	77342.09	158046.73	199772.96	213329.14	132842.83	174937.54	157927.86	209727.75	223607.57	124371.45
K00860	12587.73	10984.37	6685.48	19321.63	9984	10300.3	23082.81	13636.59	12092.25	99	7271.39	169.75	433.25	6954.13	3339.17	638.58	281.42	3914.12	17387.17	5236.41	11124.34	3942.12	5145.6	54766.5	32260.56	270228.91	159998.88	39237.96	47872.55	37276.16	49256.79	4011.88	87159.46	2530	3655	12790.12	967.33	27096.67	70914.99	51445.98	2858.75	28661.92	40821	8451	21836.83	33078.19	19287.9	12637.83	19823.13	19341.9	18734.62	16828.25	51186.32	31096.67	20574.75	24870.16	9161.79	2354.68	950.45	492.1	659.5	22269.92	2827	23286.5	4420.04	193.25	26133.83	11929.11	97910.25	4239.05	34354.5	9675.62	6341.17	1788.83	11720.54	5055.5	1842.25	62531.25	18042.25	34339.98	31707.3	12355.72	12468.13	19160.09	20745.63	21062.75	17694.71	9920.08	28693.17	83933.08	19459.33
K00862	1.4	8.2	1.2	0	0	0	0	0	0	13.2	0.4	47.8	0	0	0	0	0	0	0	0	0	0	0.8	0	292.4	0	5	34	0	0	0	0	0	1.2	0	0	0	8	76.4	0	0	0	53	2	5.6	0	0	0	2.2	0	1.2	0	0	0	0	1	0	0	35.4	7.8	0	65.6	0	0	6	0	0	0	0	0	16.6	0	0	61.2	0	13.2	12	526.8	5.6	25	0	12.2	0	0	32	0	671.6	16	0	0	0
K00863	472.25	152.25	3.31	152.5	18.25	154	184.75	1818.75	1833.93	6	53.75	466.25	45	76.35	302.5	221.5	37	296.71	184.5	0	131.25	10.25	83	570.25	1276.25	3325.6	7490.75	647.87	1182	6715	588	281.5	413.5	526.33	229.75	913.25	780.37	1797.42	741	715.67	441.74	2748	910.75	333.94	279	3872.42	109.12	68.25	161.87	307	5404.25	939	1326	547	337.5	734.25	29.5	355.25	847.4	560.75	2772.71	2271.6	398.25	322	503.6	39	173.5	177.5	1133.25	233.75	211.25	108	1879.25	407	871.25	4495.78	290	2483	661.75	141.75	734	88.75	729.75	122.5	185.81	1304.25	7507.25	848.24	607.5	251.08	1541.25
K00864	93769.43	66050.62	59531.11	55340.13	55313	61777.02	80261.94	60567.76	147818.95	36713.7	59174.39	65506.89	49124.45	42202.98	48582.47	26287.88	32505.92	54027.38	29895.57	42315.79	151074.34	45089.67	63898.97	359667.1	300667.84	334187.81	429624.31	313080.13	339306.78	341381.66	252270.67	158495.88	267395.41	104823.08	172727.31	166439.62	160494.39	254839.79	107627.09	284159.04	85434.41	182944.21	137290.35	144981.99	162759.79	147816.24	66840.12	113547.41	81177.2	103951.75	173998.79	52193.18	101376.47	113173.8	97264.92	93053.68	112851.45	190108.6	170272.23	146766.97	121585.42	111758.78	139608.52	99825.48	148751.14	178289.55	126551.68	157392.21	132158.75	78374.03	125730.96	239757.87	150979.32	104704.41	119735.64	302287.64	152227.73	101059.75	164205.19	103845.63	101945.77	66052.57	99818.23	187879.09	182634.78	135249.25	141806.11	134311.21	185494.44	201928.27	157011.06
K00865	67133.71	36637.85	26867.71	39157.35	27628.63	46882.14	76137.69	45890.01	73848.31	22796.2	21023.29	27430.07	39864.95	44241.88	35109.4	29800.03	28121.42	29357.53	34050.87	20845.36	89910.42	22551.02	31552.4	224328.43	105946.54	302620.9	255622.56	174017.71	259857.41	223934.16	112834.99	114070.13	191018.76	83011.66	112011.43	84025.85	106019.11	195499.1	112279.63	101656.07	141214.18	167501.73	126568.65	101277.74	105386.71	126835.59	78795.52	69373.03	49602.05	88391.55	99734.14	53748.75	69408.89	100544.32	54825.97	47789.69	68742.4	151559.23	129916.77	122616.9	96674.64	76977.13	83658.2	79911.28	89024	42569.8	70484.88	96344.11	154918.75	40764.9	98920.91	122662.97	133514.92	79759.6	67246.61	282250.45	134207.63	88360.48	135407.29	70491.27	81346.22	50755	81257.08	83497.66	82379.74	90074	135905.81	33068.86	108049.67	156907.64	63791.78
K00867	3999.78	1376.4	1406.25	253	297.5	5121	692.75	3529.42	3470.93	1399.5	70.5	7284.42	1654.25	3459.75	16500.85	872.98	590.75	504.21	2916	221.08	3040.5	930.75	529.25	5042.45	2002.26	10352.75	5166	2934.03	9972.65	8687.16	13265.08	1789.75	449	1934.75	4316.08	1352.33	22763.92	17074	1260.5	4627.67	297.58	41768.08	13079.8	5117.5	13814.08	15160.02	20727	2013.75	192	3755.5	15078.2	1151.33	1375.75	1032.05	169.17	282.5	143.33	6389	4970.45	2827.67	4600.08	2502.88	854.3	10985.28	9919.05	2375.75	1540	2849	540.5	1104.83	1125.08	297	4951.15	5162.25	4259	31274.39	51236.25	663.58	17141.92	10064.75	1476.75	4625.08	2015.75	3587.33	6020	7704.25	66393.33	5062.83	1402.67	1125.01	11398.33
K00868	107084.73	68124.52	54115.15	53422.6	48416.88	65372.37	99839	59983.84	138736.82	50908.7	58844.77	52860.04	58432.2	60142.63	64237.12	31294.28	38768.42	39032.08	42546.79	31609.91	151550.92	39004.32	64091.47	397345.26	223472.39	322471.9	313981.71	299797.95	355408.16	404209.57	275638.24	168278.88	281489.02	128995.08	172226.68	149240.44	161637.06	273069.77	143195.43	279273.33	172149.68	211072.81	171317.98	155271.99	168694.45	169156.35	80653.95	124165.61	79691.55	119961.15	176329.81	88308.17	101173.11	133173.32	115223.97	88271.66	118651.57	212568.8	176370.52	144614.39	123408.35	107998.71	138025.1	132326.28	160362.8	54998.25	142395.21	173922.21	161299.75	78506.57	140246.24	235834.97	187418.25	126181.85	128200.01	324559.53	209143.47	100410.23	160654.46	111455.9	99343.69	71992.57	115637.58	181233.46	159150.04	118413.25	158312.66	82321.68	149924.58	186678.17	74256.2
K00869	4050.2	1387.4	1350	156	39	5208	680	1213.17	6448.5	1376.5	83	7195	1584.25	1148	10637.6	223.4	2717	455	144	127	584.33	928.75	683.5	4823.7	53673.27	17268	525	4537.53	13247.98	27155.5	14841.5	1652.25	424	2329	6349.58	2893.83	22189.17	14285.75	1174.5	3718.67	61	40841.33	7111.3	6794	5034.5	7883.27	2622.5	821	618	2611	17873.2	855	703	315.13	128.17	682	914.83	6095.5	4545.45	3346.17	4241.33	10352.88	4262.8	11422.53	9009.13	2204	1456	2789	421	1204.08	2634.33	284.25	4876.4	4888.75	3810.75	31130.72	51695	510	5722.25	3095	1093	1900	1031	18776	4660	1970	53403.25	7346.5	903.67	475.93	2076
K00870	0	0	0	0	0	0	0	17	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75	0	72	0	0	213	0	534.7	0	5.2	0	0	0	0	0	87.2	10.6	123	14	5	0	0	34	1.8	0	18.75	0	0	0	0	0	0	0	0	0	0	0	0	0	214	13	0	0	0	0	0	0	0	0	0	38.8	0	11	133	364.3	0	0	0	0	156	0
K00872	31774.1	12447.52	18642.72	14715	16159.75	21589.4	15084.5	16101.75	71261.01	14346.2	11994.65	12615.89	5929	17347.25	29920.85	6232.23	10508.5	18559.96	15289.42	9237.83	55187.25	9426.75	21801.8	157172.53	76041.06	301046.5	39682.33	84665.94	75734	167180.57	126844.95	48090.75	71577.5	53864	35330.08	58791.75	49993.17	71266.95	20221.9	133648.2	28253.16	48332.16	47414.21	54549.3	79261.56	57717.97	33173.85	46882.42	25100.7	19016.25	67880.12	30833.08	31032.55	24403.35	24700.42	26561.5	41060.58	48087.25	21263.94	17815.72	25864.16	47908.73	52722.63	48198.28	58143.72	5001.5	45497.08	49851.5	6780	14594.5	45765.88	95059	25402.98	24443.04	48606.42	96245.84	79588.32	25556.08	78252.94	46933.15	29845.22	22903.45	37165.25	66116.67	63302.13	35756.5	89126.93	23352	48808.01	34818.59	19488.5
K00873	124824.68	79430.96	65143.13	65138.68	61856.8	72958.7	112260.03	75344.76	174649.93	69059.53	67405.29	74218.63	68962.45	64591.91	61127.47	37053.71	42315.17	65709.45	46599.12	46095.77	170524.43	56437.19	74112.32	436278.23	344082.67	386743.51	365151.96	404737.08	403590.11	462905.57	323460.27	185592.55	349684.78	155423.62	205480.56	184810.36	175384.54	350923.06	156325.29	344250.2	185327.01	193940.81	185596.18	176640.84	190393.25	198345.69	85854.61	131307.36	93077.71	127242.3	184180.08	92613.33	128124.85	156243.82	128778.14	118710.03	136786.99	236926.9	190632.95	164999.74	143737.69	138815.53	177287.05	132402.08	165316.66	190540.75	147925.05	186483.78	179505.5	92473.57	166573.19	281629.05	200854.27	137036.18	142710.26	394630.75	168567.37	138531.88	189340.12	133328.48	124461.29	81231.01	140299.33	219899.22	219017.63	141052.83	194976.49	170790.26	226177.08	235517.4	135316.03
